"SYMBOL"	"annotation"	"start"	"end"	"Cell_Line_1"	"Cell_Line_2"	"Cell_Line_3"	"Coriell_1"	"Coriell_2"	"Cell_Line_4"	"Cell_Line_5"	"Cell_Line_6"	"Cell_Line_7"	"Cell_Line_8"	"Cell_Line_9"	"Coriell_3"	"Coriell_4"	"Cell_Line_10"	"Cell_Line_11"	"Cell_Line_12"
"1"	"PCDHA1"	"Promoter (1-2kb)"	140788035	140788036	"0.504242624617156"	"0.595305728900973"	"0.664472623069798"	"0.508639568658159"	"0.464320248429011"	"0.604261197695214"	"0.433126028198814"	"0.57315256778002"	"0.443494898740739"	"0.632684361112262"	"0.578179351788207"	"0.475184550035804"	"0.536555514738895"	"0.605819614848712"	"0.507995094015917"	"0.658756074914722"
"2"	"PCDHA10"	"Promoter (<=1kb)"	140857900	140857901	"0.512605214634327"	"0.642181933445212"	"0.688548570528658"	"0.574306508094326"	"0.524448257813832"	"0.615214982400877"	"0.436189061593151"	"0.632464972695163"	"0.450509858841508"	"0.688899035314873"	"0.596346887099769"	"0.539236361156878"	"0.60541540055369"	"0.611984388367949"	"0.504478667913273"	"0.714253029664971"
"3"	"PCDHA11"	"Promoter (<=1kb)"	140868889	140868890	"0.352244998852935"	"0.448487242335617"	"0.635544226434027"	"0.351749625335896"	"0.332818517525801"	"0.5626820347295"	"0.310198487353625"	"0.42551417031275"	"0.308141950706669"	"0.463722515380891"	"0.549786304174653"	"0.321432798812925"	"0.380924225658721"	"0.573320930178757"	"0.377434861430571"	"0.504918077146135"
"4"	"PCDHA12"	"Promoter (<=1kb)"	140875208	140875209	"0.623295403901859"	"0.712446564470989"	"0.728450972448354"	"0.564441691359373"	"0.513200438026889"	"0.69132042398342"	"0.540047003626719"	"0.682675022503853"	"0.525985887308711"	"0.729966610807384"	"0.665568065888095"	"0.539744520467747"	"0.585667115838216"	"0.690780045099286"	"0.611172823348521"	"0.747229254012954"
"5"	"PCDHA13"	"Promoter (<=1kb)"	140882719	140882720	"0.682142526753215"	"0.582241979945931"	"0.662128983710306"	"0.549423090948958"	"0.488432999432922"	"0.594672916826336"	"0.568727269552191"	"0.534651222367756"	"0.617605993597008"	"0.618940420470198"	"0.56043559587825"	"0.487823398667301"	"0.581370334899876"	"0.604035829658536"	"0.681128727986161"	"0.65354897315668"
"6"	"PCDHA2"	"Promoter (<=1kb)"	140795302	140795303	"0.298454857739097"	"0.599337232241948"	"0.592041018399455"	"0.461493820024079"	"0.378118195918821"	"0.557655212801584"	"0.25721636931695"	"0.590265066477498"	"0.256530642835203"	"0.654543817345881"	"0.500305375076747"	"0.401156183722107"	"0.47732548978162"	"0.546614580460183"	"0.303190948433517"	"0.665979735931987"
"7"	"PCDHA3"	"Promoter (<=1kb)"	140801061	140801062	"0.187895303848607"	"0.630941312820614"	"0.571435733297697"	"0.355626778509201"	"0.319444987272872"	"0.480623364275055"	"0.168615792245661"	"0.578400045781218"	"0.178551817214289"	"0.668054800164874"	"0.453040207286321"	"0.313767560472092"	"0.36087989293189"	"0.503369911571807"	"0.213185003318781"	"0.684283324328858"
"8"	"PCDHA4"	"Promoter (<=1kb)"	140807310	140807311	"0.439166874426995"	"0.696211125897685"	"0.70157118902377"	"0.428583444626095"	"0.358756174558875"	"0.632668221255824"	"0.379908891589022"	"0.66082777258677"	"0.395637314105999"	"0.729889595330471"	"0.612338449187779"	"0.38298448179497"	"0.424755418411691"	"0.645433985070831"	"0.440003947769664"	"0.738400519332211"
"9"	"PCDHA5"	"Promoter (<=1kb)"	140821766	140821767	"0.551009206279835"	"0.707084991147447"	"0.598439594064556"	"0.477374047852212"	"0.394692556602296"	"0.51369531285839"	"0.476010620026581"	"0.675925053990074"	"0.521047567217974"	"0.741309133786223"	"0.528218738999753"	"0.407463598451021"	"0.465831110395713"	"0.547080095007433"	"0.547182249474913"	"0.734426143964651"
"10"	"PCDHA6"	"Promoter (<=1kb)"	140828024	140828025	"0.497870678521313"	"0.680581114437682"	"0.687490153131423"	"0.484898138433962"	"0.418463383868577"	"0.638229930997232"	"0.420399090442233"	"0.648813097336173"	"0.461168232515727"	"0.711016877615571"	"0.588837962717083"	"0.43073480488199"	"0.498990210096293"	"0.628513230091665"	"0.504486815900722"	"0.711387276443011"
